movie_id,director_id
1,1
2,2
2,3
3,4
3,5
4,6
5,7
6,8
6,9
6,10
7,11
8,12
9,13
10,12
11,14
12,15
13,16
14,17
15,18
15,19
16,7
17,13
18,20
19,21
20,22
21,23
22,24
23,25
24,26
25,19
26,27
27,28
28,29
29,14
30,30
31,31
32,32
33,33
34,34
35,35
36,36
36,37
37,13
38,38
39,39
39,40
40,41
41,42
41,43
42,44
43,45
43,46
43,12
44,47
45,13
46,48
47,49
48,50
49,51
50,23
51,12
52,52
53,53
54,6
55,54
56,55
57,24
58,56
59,
60,14
61,57
62,58
63,6
64,59
65,60
66,61
67,62
68,63
69,64
70,65
71,66
72,67
73,68
74,69
75,70
76,71
77,72
78,73
79,74
80,75
81,
82,76
83,77
84,2
84,3
85,78
86,79
87,80
88,81
89,82
90,83
90,84
91,85
92,86
93,87
94,88
95,
96,89
97,90
98,91
99,92
99,93
100,94
101,95
102,96
103,97
104,
105,98
105,99
106,100
106,101
107,47
108,102
109,103
110,82
111,104
112,15
113,105
114,106
115,107
116,108
117,109
118,110
119,111
119,112
120,113
121,114
122,13
123,115
123,116
124,117
124,118
125,119
126,120
126,121
127,122
128,123
129,124
130,125
131,31
132,126
133,127
134,128
135,31
136,129
137,130
138,131
139,132
140,133
140,134
141,135
142,136
143,44
144,137
145,138
146,109
147,139
148,140
149,141
150,142
151,143
152,76
153,144
154,145
155,146
156,147
157,142
158,148
159,149
160,150
161,151
162,152
163,153
164,154
165,155
166,156
167,23
168,111
168,112
169,157
170,158
171,159
172,160
173,106
174,161
175,162
176,92
177,163
177,164
178,165
178,166
179,96
180,167
181,168
182,169
182,170
183,171
184,172
185,173
186,174
187,13
188,175
189,176
190,177
191,178
192,179
193,180
194,181
195,182
196,183
197,184
198,96
199,21
200,185
201,186
202,187
203,188
204,189
205,138
206,190
206,191
207,192
208,193
209,194
209,195
210,196
211,197
212,198
213,199
214,43
214,200
215,201
216,
217,202
218,65
219,203
219,204
220,13
221,205
222,206
223,207
223,208
224,209
225,210
226,211
227,175
228,212
228,213
229,214
230,215
231,216
232,217
233,218
234,219
235,220
235,221
236,222
237,199
238,55
239,223
239,224
240,225
240,226
240,227
241,228
242,103
243,229
244,230
245,231
246,232
246,233
247,234
248,235
249,236
249,237
249,238
250,155
251,
252,2
252,3
253,239
254,138
255,240
256,241
257,31
258,242
258,243
259,244
260,47
261,245
262,246
262,247
263,248
264,249
265,250
266,251
266,252
267,253
268,254
269,60
270,57
271,255
272,256
273,257
274,258
275,259
276,260
277,261
278,262
279,263
280,264
281,265
282,6
283,266
284,267
284,268
285,269
286,270
286,271
287,119
288,272
289,273
290,274
291,190
291,191
292,275
293,276
293,277
294,278
294,279
295,89
296,280
297,281
298,282
299,283
300,284
301,285
302,286
303,287
304,288
305,289
306,290
307,291
308,292
309,293
310,111
310,112
311,294
312,295
313,296
314,297
314,298
315,299
316,300
317,301
318,302
318,303
319,304
320,305
321,306
322,307
323,308
324,309
325,310
326,198
327,311
327,312
328,313
329,177
330,314
331,290
332,184
333,315
334,316
335,317
335,318
336,319
336,320
337,321
338,322
339,323
340,282
341,324
341,325
342,326
342,327
343,328
344,85
345,67
346,329
346,330
347,331
348,332
349,333
349,334
350,335
351,336
352,337
353,338
353,339
354,340
355,341
356,342
357,343
358,44
359,344
360,345
361,322
362,31
362,346
363,347
363,348
364,349
365,350
365,311
365,351
365,352
365,353
365,354
365,355
365,356
365,357
365,358
365,359
365,360
365,361
366,362
367,363
368,364
369,365
370,73
371,366
372,367
373,368
374,369
375,76
376,370
377,371
378,372
378,373
379,374
380,375
381,376
382,377
383,378
384,379
385,380
386,381
387,382
388,383
389,384
390,385
391,386
391,387
392,388
392,389
393,390
393,391
394,130
395,392
396,393
396,394
397,395
398,396
399,397
400,398
400,399
400,400
401,401
402,402
403,403
404,404
404,405
405,406
406,407
407,184
408,408
409,409
410,109
411,410
412,411
413,380
414,412
415,413
416,414
417,415
418,416
419,
420,417
421,418
422,419
423,384
424,420
425,421
426,422
426,423
426,424
427,425
428,426
429,427
430,230
431,428
432,429
433,430
434,431
435,432
436,433
437,434
438,435
439,138
440,436
441,437
442,438
443,439
444,440
444,441
445,248
446,442
447,443
448,444
449,246
450,445
451,446
452,447
453,448
454,292
455,449
456,31
457,450
458,451
459,452
460,453
461,454
462,455
463,456
464,139
465,457
466,458
467,459
468,6
469,460
470,461
471,462
472,463
473,464
474,
475,465
476,130
477,466
478,467
479,468
479,469
480,470
481,471
482,438
483,472
